City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Kenai,US,60.5544,-151.2583,27.09,93,100,9.22,light snow
325,Ukiah,US,39.1502,-123.2078,62.96,59,100,1.01,overcast clouds
326,Yulara,AU,-25.2406,130.9889,67.84,52,0,6.91,clear sky
327,San Andres,CO,12.5847,-81.7006,80.62,74,75,10.36,broken clouds
328,Leningradskiy,RU,69.3833,178.4167,-22.23,96,26,4.54,scattered clouds
329,Bathsheba,BB,13.2167,-59.5167,83.01,57,20,16.11,few clouds
330,Flinders,AU,-34.5833,150.8552,67.8,79,99,5.99,light rain
331,Kamenka,RU,51.3223,42.7678,10.38,96,95,8.95,overcast clouds
332,Hay River,CA,60.8156,-115.7999,-7.62,77,75,3.44,light snow
333,Dickinson,US,29.4608,-95.0513,47.16,51,0,1.99,clear sky
334,Togur,RU,58.3631,82.8265,17.64,94,100,5.44,overcast clouds
335,Oksfjord,NO,70.2396,22.3479,29.32,85,36,17.76,scattered clouds
336,Kalabo,ZM,-14.97,22.6814,68.43,92,87,5.82,moderate rain
337,Barcelos,PT,41.5388,-8.6151,56.84,73,7,5.53,clear sky
338,Vila Velha,BR,-20.3297,-40.2925,84.15,79,40,15.01,scattered clouds
339,Leshan,CN,29.5623,103.7639,44.6,89,100,6.22,overcast clouds
340,Portland,US,45.5234,-122.6762,48.09,90,75,3.0,broken clouds
341,Ust-Tsilma,RU,65.441,52.1498,-8.54,100,57,3.87,broken clouds
342,Dondo,MZ,-19.6094,34.7431,83.71,76,15,8.99,few clouds
343,Biltine,TD,14.5333,20.9167,71.67,14,53,17.29,broken clouds
344,Tilichiki,RU,60.4667,166.1,4.53,80,100,7.7,overcast clouds
345,Ruteng,ID,-8.6136,120.4721,62.85,90,91,1.66,overcast clouds
